,sno,state,City,Place,Best_time_to_visit,Distance,Place_desc
2366,2367,Tamil Nadu,Coimbatore, 10. Kodiveri Dam ,All Year, 63 km  from city center ," Situated on the Bhavani River near Gobichettipalayam in Tamil Nadu, Kodiveri Dam is a scenic picnic spot and a major tourist attraction in the place. The dam is not only a tourist spot but it also provides irrigation water for over 25000 hectares of land. "
2367,2368,Tamil Nadu,Coimbatore, 11. Perur Siva Temple ,All Year, 6 km  from city center , The Perur Siva Temple is situated at around 6 km away in the west of Coimbatore. The temple was built by the Karikala Cholan and has been constructed marvelously on the banks of the river Noyyal. 
2368,2369,Tamil Nadu,Coimbatore, 12. Kovai Kutralam Falls ,All Year, 31 km  from city center , Kovai Kutralam falls is an exhilarating water fall located in the scenic region of Siruvani. The water fall is about 37 kilometers away from Coimbatore city and the water fall is predominantly manifested for its exaltedness. 
2369,2370,Tamil Nadu,Coimbatore, 13. Siruvani Falls and Dam ,All Year, 33 km  from city center , The Siruvani falls and dam is situated some 37 kilometers to the west of Coimbatore city amidst the lush green Western Ghats. The river is clean and offers to its visitors some sensationally tasty water. 
2370,2371,Tamil Nadu,Coimbatore, 14. Isha Yoga Center ,All Year, 1 km  from city center ," Isha Yoga Ashram in India is a non-profit and non-religious center, which has been drawing innumerable people from different parts of the globe since a long time. The ashram and yoga center has been founded by Sadhguru Jaggi Vasudev.  "
2371,2372,Tamil Nadu,Coimbatore, 15. Anubhavi Subramaniar Temple ,All Year, 27 km  from city center ," The Anubhavi Subramaniar temple is one of the most famous temples situated in close proximity to Coimbatore. With a spiritual aura known for its uniqueness, this temple is visited by vacationers and locals alike. "
2372,2373,Tamil Nadu,Coimbatore, 16. Eachanari Vinayagar Temple ,All Year, 11 km  from city center , Within half an hour's drive from the city of Coimbatore stands the shrine of Vinayagar at Eachanari dedicated to Lord Ganesha. The temple follows typical Dravidian style architecture and is imbibed with a peaceful spiritual vibe around it. The story of the deity follows a myth that has been passed down from one generation to the next. 
2373,2374,Tamil Nadu,Coimbatore, 17. Brookefields Mall ,All Year, 1 km  from city center ," Brookefields Mall is an attraction famous for shopping and recreational activities in Coimbatore. From apparel to shoes and accessories, you name it, and they have it. It is a perfect place to buy stylish and trendy outfits or to put a look together for an important event. "
2374,2375,Tamil Nadu,Coimbatore, 18. Gedee Car Museum ,All Year, 3 km  from city center ," Gedee Car Museum is one of the few places in India where one can find cars made in Britain, Japan, France, Germany and America under one roof. The collection of cars is extremely well maintained and all the relevant information about the cars on display is mentioned for visitors to learn. It is, therefore, a favourite attraction for automobile freaks and engineering students.  "
2375,2376,Tamil Nadu,Coimbatore, 19. Masani Amman Temple ,All Year, 3 km  from city center ," Masani Amman Temple is a temple dedicated to Masani Devi, who is also known as Shakti Devi. Situated at the confluence of the Uppar Stream and River Aliyar, the temple is a major attraction for not just the devotees of Masani Devi but also for tourists visiting Coimbatore from all around the world.  "
2376,2377,Tamil Nadu,Coimbatore, 20. Puliakulam Vinayagar Temple ,All Year, 4 km  from city center ," Mundhi Vinayagur Temple is dedicated to Lord Ganesha. The most important feature of the temple that makes is a major attraction in the city is the idol of Lord Ganesha which, at a height of 20 feet and width of 11 feet, is the largest idol of the deity carved in stone.  "
2377,2378,Tamil Nadu,Coimbatore, 21. Black Thunder ,All Year, 34 km  from city center ," Black Thunder Theme Park is a wonderful picnic spot in Coimbatore. Right from Dashing Boats, Volcano, Dragon Coaster, Kiddies pool, Wave pool to a Wild River Ride the park has rides to suit every age group. "
2378,2379,Tamil Nadu,Coimbatore, 22. Naga Sai Mandir ,All Year, 1 km  from city center , Sri Naga Sai Temple is dedicated to Sai Baba and is a famous attraction for the believers and followers of Sai Baba. This is one of the few temples of Sai Baba found in the southern part of the country.  
2379,2380,Tamil Nadu,Coimbatore, 23. Ramar Temple ,All Year, 10 km  from city center ," Ramar Temple is the only temple where the idols of Lord Rama and Goddess Sita are seen facing each other depicting their love and admiration for each other. It is a well-maintained and clean temple where devotees can offer their prayers and sit in solitude before they resume their daily work. 
 "
2380,2381,Tamil Nadu,Coimbatore, 24. TNAU Botanical Garden ,All Year, 3 km  from city center ," Spread over an area of around 300 acres in Coimbatore, TNAU Botanical Garden boasts of some rare varieties of trees, shrubs and herbs. The garden is very well-maintained and vibrantly blooms with flowers including roses, marigold, carnations, chrysanthemums, lilies etc. "
2381,2382,Tamil Nadu,Coimbatore, 25. Aliyar Dam Reservoir Park ,All Year, 60 km  from city center ," Aliyar Dam Reservoir Park is situated adjacent to the dam at the foothills of Anamalai Hills in Western Ghats. The park boasts of well-maintained gardens, orderly green lawns, swings for kids and play area etc. "
2382,2383,Tamil Nadu,Coimbatore, 26. Nehru Park ,All Year, 4 km  from city center ," Nehru Park is one of the popular parks in Coimbatore. It houses a massive statue of Jawaharlal Nehru- the first Prime Minister of India. Besides, it has well-maintained gardens, swings, jogging track and spaces for yoga and meditation etc. "
2383,2384,Tamil Nadu,Coimbatore, 27. Gass Forest Museum ,All Year, 1 km  from city center , Gass Forest Museum is a natural history museum in Coimbatore located inside the premises of the Forest College Campus. The museum has several relics of wild and domestic animals stuffed and preserved to make them look real. It invites a lot of tourist influx all through the year. 
2384,2385,Uttar Pradesh,Lucknow, 1. Bara Imambara ,All Year, 4 km  from city center ," The Bara Imambara of Lucknow is one of the most famous monuments of the city. Also known as Asfi Imambara,  after the name of the Nawab of Lucknow who got it constructed, it is an important place of worship for the Muslims who come here every year to celebrate the religious festival of Muharram. The Imambara is specially known for its incredible maze, known as Bhul Bhulaiya locally, which is located in the upper floor of the monument. "
2385,2386,Uttar Pradesh,Lucknow, 2. Chota Imambara ,All Year, 5 km  from city center ," The Chhota Imambara, or the Imambara of Hussainabad, is one of the most beautiful and attractive buildings in the old city of Lucknow in Uttar Pradesh. This imposing monument lies to the west of Bara Imambara and is a true sight to behold. The Chhota Imambara was initially a congregation hall for Shia Muslims that was built by Muhammad Ali Shah, who was the third Nawab of Awadh, in 1838. The Imambara was to serve as his own mausoleum as well as that of his mother, who is buried beside him in this prestigious monument.  "
2386,2387,Uttar Pradesh,Lucknow, 3. British Residency ,All Year, 3 km  from city center , The British Residency of Lucknow served as a refuge for several Britishers during the uprising on 1857. The fort is now in ruins and a cemetery nearby contains the graves of the hundreds of Britishers who died during the siege. The ruins are now protected by the Archaeological Survey of India.  
2387,2388,Uttar Pradesh,Lucknow, 4. Marine Drive ,All Year, 2 km  from city center ," Marine Drive is named after the famous Marine Drive in Mumbai. It is a picturesque strip of road adjacent to the River Gomti in Gomti Nagar, Lucknow. The spot is popular among the young crowd as a hangout place. Apart from that, people use it for jogging, cycling and similar activities. The path is sprinkled with benches to sit and relax. "
2388,2389,Uttar Pradesh,Lucknow, 5. Rumi Darwaza ,All Year, 4 km  from city center ," The Rumi Darwaza was built in 1784-86 and is a 60 feet high entrance, with no visible supporting fittings. It is also known as the Turkish Gate and displays Awadhi architectural style. "
2389,2390,Uttar Pradesh,Lucknow, 6. Dr. Ambedkar Park ,All Year, 6 km  from city center ," The Ambedkar Memorial Park was constructed by the Mayawati Government in Gomti Nagar, Lucknow. The park was built to commemorate the people who dedicated their life to equality and human justice like Dr. Bhimrao Ambedkar, Kanshi Ram and others. With a budget of a whopping seven billion rupees, the park is one of the loveliest things to see in Lucknow. "
2390,2391,Uttar Pradesh,Lucknow, 7. Lucknow Zoo ,All Year, 1 km  from city center , The Prince of Wales Zoological Gardens was built in 1921 was built to commemorate the Royal family's visit to Lucknow. 
2391,2392,Uttar Pradesh,Lucknow, 8. Hazratganj Market ,All Year, 0 km  from city center ," Hazratganj, the central shopping district of Lucknow, has a long history behind it and has undergone a great makeover that bridges the past and the present and continues to serve as Lucknow's central shopping arcade. "
2392,2393,Uttar Pradesh,Lucknow, 9. Indira Gandhi Planetarium Lucknow ,All Year, 9 out of 47  places to visit in Lucknow ," Situated at the Surajkund Park neighbourhood of Lucknow, on the banks of the River Gomti, Indira Gandhi Planetarium is also popularly known as Taramandal Show. The highlights are the science and astronomy shows, 3D models and exhibitions. "
2393,2394,Uttar Pradesh,Lucknow, 10. Shah Najaf Imambara ,All Year, 1 km  from city center , Shah Najaf Imambara is a Muslim monument centrally located in Lucknow city at Rana Pratap Road. The dome-shaped monument houses the graves of Nawab Ghazi - Ud - Din Haider and his three wives. 
2394,2395,Uttar Pradesh,Lucknow, 11. Moti Mahal ,All Year, 0 km  from city center ," Built by Nawab Saadat Ali Khan, the Moti Mahal is popularly known as the Pearl Palace. This historical monument located on the banks of river Gomti is constructed next to Mubarak Manzil and Shah Manzil. A former residence of the Nawabs of Lucknow during the time, Moti Mahal was initially a part of the Qaisar Bagh complex.  "
2395,2396,Uttar Pradesh,Lucknow, 12. Ramakrishna Math ,All Year, 3 km  from city center ," A monastery and shrine established in Nirala Nagar, the Ramakrishna Math is an all-monk institution dedicated to Sri Ramakrishna . With the motto of ""For one's own salvation, and for the welfare of the world"", this building has a shrine adjacent to the institute.  "
2396,2397,Uttar Pradesh,Lucknow, 13. Bithoor ,All Year, 72 km  from city center ," Bithoor is a quaint little town nestled away in the Kanpur district of Uttar Pradesh, acclaimed for being an important hub of pilgrimage for Hindus. Along with its religious significance, Bithoor also has a good share of historical places of interest. Bithoor is immersed in local legends, religious myths, primeval artifacts and ancient ruins. The town was said to be the residence of Lav and Kush, prominent figures in the Hindu mythology of Ramayana. "
